lon,lat,name
-122.271604,37.803664,12th St. Oakland City Center
-122.419694,37.765062,16th St. Mission
-122.269029,37.80787,19th St. Oakland
-122.418466,37.752254,24th St. Mission
-122.26978,37.853024,Ashby
-122.4474142,37.72198087,Balboa Park
-122.126871,37.697185,Bay Fair
-122.075567,37.690754,Castro Valley
-122.413756,37.779528,Civic Center/UN Plaza
-122.197273,37.754006,Coliseum/Oakland Airport
-122.466233,37.684638,Colma
-122.029095,37.973737,Concord
-122.4690807,37.70612055,Daly City
-122.268045,37.869867,Downtown Berkeley
-121.900367,37.701695,Dublin/Pleasanton
-122.317269,37.925655,El Cerrito del Norte
-122.2992715,37.9030588,El Cerrito Plaza
-122.396742,37.792976,Embarcadero
-121.9764,37.557355,Fremont
-122.224274,37.774963,Fruitvale
-122.434092,37.732921,Glen Park
-122.087967,37.670399,Hayward
-122.123801,37.893394,Lafayette
-122.265609,37.797484,Lake Merritt
-122.267227,37.828415,MacArthur
-122.38666,37.599787,Millbrae
-122.401407,37.789256,Montgomery St.
-122.283451,37.87404,North Berkeley
-122.024597,38.003275,North Concord/Martinez
-122.1837911,37.87836087,Orinda
-121.945154,38.018914,Pittsburg/Bay Point
-122.056013,37.928403,Pleasant Hill/Contra Costa Centre
-122.406857,37.784991,Powell St.
-122.353165,37.936887,Richmond
-122.251793,37.844601,Rockridge
-122.416038,37.637753,San Bruno
-122.392612,37.616035,San Francisco Int'l Airport
-122.1613112,37.72261921,San Leandro
-122.0575506,37.63479954,South Hayward
-122.444116,37.664174,South San Francisco
-122.017867,37.591208,Union City
-122.067423,37.905628,Walnut Creek
-121.928099,37.699759,West Dublin/Pleasanton
-122.2945822,37.80467476,West Oakland
