Hour,SJ,SF,RC,MV,PA
00,102,504,5,3,6
01,77,277,1,12,14
02,24,202,1,3,9
03,7,99,0,1,3
04,10,237,0,1,1
05,122,557,3,13,2
06,127,2609,2,93,16
07,533,7082,56,201,30
08,681,13864,121,225,100
09,413,11344,37,346,188
10,456,6458,53,168,125
11,504,6709,59,101,104
12,621,8633,78,104,139
13,521,8064,49,99,100
14,421,6825,42,93,135
15,454,7520,54,132,114
16,873,11097,60,287,129
17,976,14179,64,290,161
18,618,9991,31,288,133
19,438,5493,38,124,89
20,292,3394,15,60,45
21,269,2309,12,39,31
22,230,1500,6,30,23
23,166,906,6,15,9
