name,start,end,class
San Francisco Caltrain (Townsend at 4th),9838,11637,caltrain
Harry Bridges Plaza (Ferry Building),7343,7475,ferry
Embarcadero at Sansome,6545,7590,
Market at Sansome,5922,6238,bart
Temporary Transbay Terminal (Howard at Beale),5113,4356,
Market at 4th,5030,5109,
2nd at Townsend,4987,5655,
San Francisco Caltrain 2 (330 Townsend),4976,5112,caltrain
Steuart at Market,4913,5080,
Townsend at 7th,4493,5073,
2nd at South Park,4458,4431,
Grant Avenue at Columbus Avenue,4004,2648,
Powell Street BART,3836,4211,bart
2nd at Folsom,3776,2513,
South Van Ness at Market,3521,3121,
Market at 10th,3511,3388,
Embarcadero at Bryant,3497,3088,
Spear at Folsom,3423,3554,
Howard at 2nd,3263,3211,
Civic Center BART (7th at Market),3074,3187,bart
Beale at Market,3057,2580,bart
Embarcadero at Folsom,2931,2865,
Mechanics Plaza (Market at Battery),2868,2713,
Commercial at Montgomery,2834,2450,
Powell at Post (Union Square),2824,2267,
Embarcadero at Vallejo,2785,3005,
5th at Howard,2635,3089,
Post at Kearney,2503,2310,
Yerba Buena Center of the Arts (3rd @ Howard),2487,2594,
Clay at Battery,2419,2264,
Davis at Jackson,2300,2462,
San Jose Diridon Caltrain Station,1972,1820,caltrain
Golden Gate at Polk,1757,1532,
Washington at Kearney,1472,1772,
San Francisco City Hall,1257,1065,
Mountain View Caltrain Station,1154,1018,caltrain
Santa Clara at Almaden,855,778,
Paseo de San Antonio,745,720,
San Jose City Hall,740,510,
San Pedro Square,715,807,
Mountain View City Hall,630,742,
San Salvador at 1st,597,607,
MLK Library,528,748,
Japantown,496,590,
SJSU - San Salvador at 9th,489,534,
University and Emerson,434,541,
Palo Alto Caltrain Station,431,373,caltrain
SJSU 4th at San Carlos,389,434,
Redwood City Caltrain Station,378,228,caltrain
St James Park,366,337,
Cowper at University,355,283,
San Jose Civic Center,346,374,
Arena Green / SAP Center,339,324,
Adobe on Almaden,335,331,
California Ave Caltrain Station,297,286,caltrain
Rengstorff Avenue / California Street,248,274,
San Antonio Caltrain Station,238,272,
Evelyn Park and Ride,218,225,
Broadway St at Battery St,201,205,
Park at Olive,189,209,
Castro Street and El Camino Real,132,129,
Redwood City Medical Center,123,178,
San Antonio Shopping Center,108,93,
San Mateo County Center,101,106,
Franklin at Maple,99,93,
Broadway at Main,45,56,
Redwood City Public Library,44,117,
San Jose Government Center,23,23,
Mezes Park,3,5,
